t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255516,0.372186,-0.013152,-0.02530460,0.01587566,0.89100950,0.45300078,-0.298368,0.389616,-0.000236,-0.05099958,-0.00796420,0.89137160,0.45032464,-0.348744,0.400933,0.016194,-0.01737235,0.00272248,0.89416247,0.44739722,,,,,,,,,,,,,,,,,,,,,
0.008337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267140,0.372306,0.000440,-0.01942427,0.01531582,0.89269842,0.44997516,-0.299234,0.394545,0.001678,-0.04654702,0.00545221,0.88421607,0.46472099,0.122294,0.313304,0.406900,0.34070450,-0.15108572,0.68666161,0.62417096,,,,,,,,,,,,,,,,,,,,,
0.016674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087671,0.304314,0.332709,0.69027250,0.20554857,0.62359230,0.30398407,-0.313142,0.393415,0.017671,-0.39142488,-0.44120259,0.72779723,0.34991147,-0.332659,0.403066,-0.003461,-0.37598651,-0.46138433,0.72454332,0.34755665,,,,,,,,,,,,,,,,,,,,,
0.025012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269901,0.377341,0.014596,-0.01070018,0.00184474,0.89015760,0.45552337,-0.308236,0.383508,0.000017,-0.39449241,-0.45326931,0.72464793,0.33735448,-0.332886,0.407912,-0.002706,-0.03670365,0.01832299,0.88761544,0.45875477,,,,,,,,,,,,,,,,,,,,,
0.033349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269918,0.377635,0.014279,-0.41068132,-0.42904765,0.71865709,0.36165034,-0.300475,0.388758,0.002502,-0.04045565,0.00005195,0.89049599,0.45318896,-0.333891,0.401904,-0.002167,-0.03101427,0.01292388,0.89372100,0.44736323,,,,,,,,,,,,,,,,,,,,,
0.041686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257179,0.372988,-0.008609,-0.42324062,-0.43964280,0.70984690,0.35170864,-0.298665,0.388763,-0.000459,-0.03849272,0.00836959,0.89048506,0.45330411,-0.351440,0.399788,0.019837,-0.02647178,0.01097134,0.89368503,0.44777890,,,,,,,,,,,,,,,,,,,,,
0.050023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082365,0.307338,0.329474,0.68491891,0.19122345,0.62799543,0.31613513,-0.297210,0.394437,-0.001573,-0.04461241,0.01363866,0.88425065,0.46467677,-0.329242,0.404311,-0.008241,-0.04039417,-0.00382219,0.89203975,0.45013196,,,,,,,,,,,,,,,,,,,,,
0.058360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257697,0.376936,-0.001719,-0.01606624,0.02026359,0.88844089,0.45826199,-0.306147,0.392314,0.010369,-0.39789473,-0.45388181,0.71741101,0.34783980,-0.328917,0.403780,-0.009257,-0.03721277,0.00305692,0.88976755,0.45488412,,,,,,,,,,,,,,,,,,,,,
0.066698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269199,0.377622,0.013417,-0.02098140,0.00240968,0.89188750,0.45176394,-0.308235,0.383510,-0.000369,-0.39444957,-0.45317638,0.72469735,0.33742325,-0.337517,0.400700,0.002727,-0.02005373,0.01892253,0.89028973,0.45455910,,,,,,,,,,,,,,,,,,,,,
0.075035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.272362,0.376796,0.017537,-0.40237265,-0.43592537,0.72233012,0.35539348,-0.308803,0.389541,0.010246,-0.04305336,-0.00047741,0.89334206,0.44730990,-0.346551,0.401287,0.012238,-0.02510155,0.01217379,0.89552290,0.44414011,,,,,,,,,,,,,,,,,,,,,
