t_aruco,t_recorder,dt,roll,seg1,seg2,load1,load2,mp1x,mp1y,mp1z,mq1x,mq1y,mq1z,mq1w,mp2x,mp2y,mp2z,mq2x,mq2y,mq2z,mq2w,mp3x,mp3y,mp3z,mq3x,mq3y,mq3z,mq3w,mp4x,mp4y,mp4z,mq4x,mq4y,mq4z,mq4w,mp5x,mp5y,mp5z,mq5x,mq5y,mq5z,mq5w,mp6x,mp6y,mp6z,mq6x,mq6y,mq6z,mq6w,mp7x,mp7y,mp7z,mq7x,mq7y,mq7z,mq7w,mp8x,mp8y,mp8z,mq8x,mq8y,mq8z,mq8w,mp9x,mp9y,mp9z,mq9x,mq9y,mq9z,mq9w,mp10x,mp10y,mp10z,mq10x,mq10y,mq10z,mq10w,mp11x,mp11y,mp11z,mq11x,mq11y,mq11z,mq11w,mp12x,mp12y,mp12z,mq12x,mq12y,mq12z,mq12w,qIMU1x,qIMU1y,qIMU1z,qIMU1w,qIMU2x,qIMU2y,qIMU2z,qIMU2w,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w,valid1,quality1,reason1,angle_jump1,pos_step1,valid2,quality2,reason2,angle_jump2,pos_step2,valid3,quality3,reason3,angle_jump3,pos_step3,valid4,quality4,reason4,angle_jump4,pos_step4,valid5,quality5,reason5,angle_jump5,pos_step5,valid6,quality6,reason6,angle_jump6,pos_step6,valid7,quality7,reason7,angle_jump7,pos_step7,valid8,quality8,reason8,angle_jump8,pos_step8,valid9,quality9,reason9,angle_jump9,pos_step9,valid10,quality10,reason10,angle_jump10,pos_step10,valid11,quality11,reason11,angle_jump11,pos_step11,valid12,quality12,reason12,angle_jump12,pos_step12
0.000000,0.000000,0.000000,179.78,52.75,19.87,1151.320,-5.380,-0.236756,0.451035,-0.045639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.256756,0.450996,-0.065639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.276756,0.450958,-0.085639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.228613,0.438315,-0.109615,0.47807857,0.87831655,-0.00084312,0.00045892,-0.237755,0.421519,-0.109583,0.47807857,0.87831655,-0.00084312,0.00045892,-0.246898,0.404723,-0.109551,0.47807857,0.87831655,-0.00084312,0.00045892,-0.206898,0.404891,-0.021551,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.237755,0.421688,-0.021583,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.268613,0.438484,-0.021615,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.198754,0.392172,-0.085526,0.33745642,0.62073908,-0.33864878,0.62138809,-0.218754,0.392210,-0.065526,0.33745642,0.62073908,-0.33864878,0.62138809,-0.238754,0.392248,-0.045526,0.33745642,0.62073908,-0.33864878,0.62138809,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255516,0.372186,-0.013152,-0.02530460,0.01587566,0.89100950,0.45300078,-0.298368,0.389616,-0.000236,-0.05099958,-0.00796420,0.89137160,0.45032464,-0.348744,0.400933,0.016194,-0.01737235,0.00272248,0.89416247,0.44739722,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,first,,,1,1.000,first,,,1,1.000,first,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.066698,0.063000,0.003698,179.87,52.75,19.96,1151.320,-5.380,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269199,0.377622,0.013417,-0.02098140,0.00240968,0.89188750,0.45176394,-0.304939,0.391173,0.006306,-0.04357588,0.00422822,0.89036956,0.45312836,-0.337517,0.400700,0.002727,-0.02005373,0.01892253,0.89028973,0.45455910,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.283,0.019023,1,1.000,interpolated,,,1,1.000,accepted,2.679,0.015069,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.125058,0.126000,-0.000942,179.87,52.75,19.87,1151.320,-2.690,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.265500,0.376191,-0.001182,-0.02797481,0.01331133,0.89131116,0.45233244,-0.298341,0.389902,-0.001044,-0.05069848,-0.00817450,0.89147113,0.45015783,-0.335181,0.408864,0.010047,-0.02960055,0.00768783,0.88776161,0.45928643,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,1.944,0.010554,1,1.000,accepted,1.005,0.005843,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.191756,0.188000,0.003756,179.87,52.75,19.87,1151.320,-2.690,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271614,0.377142,0.016011,-0.01148777,0.01093457,0.89041095,0.45488109,-0.312114,0.392843,0.015402,-0.03150589,0.00659351,0.88986957,0.45507808,-0.331701,0.409553,-0.005171,-0.03973805,0.00221694,0.88975274,0.45470433,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.769,0.005171,1,1.000,interpolated,,,1,1.000,accepted,2.087,0.023497,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.250116,0.251000,-0.000884,179.87,52.75,19.96,1148.630,-2.690,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.245947,0.372372,-0.018639,-0.02571933,-0.01791993,0.89117857,0.45256838,-0.297850,0.394011,-0.001470,-0.03831889,0.00673669,0.89029481,0.45371954,-0.351291,0.402921,0.022175,-0.01860266,0.01588638,0.89366238,0.44807267,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,voted,69.037,0.032195,1,1.000,voted,72.959,0.024127,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.300139,0.301000,-0.000861,179.87,52.75,19.96,1151.320,-5.380,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.264925,0.372139,-0.002155,-0.02031028,0.00140934,0.89486566,0.44587101,-0.311578,0.388175,0.013573,-0.38946619,-0.44806707,0.72619585,0.34668656,-0.348259,0.407034,0.015302,-0.37154347,-0.45646427,0.72779442,0.35201009,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,voted,70.574,0.012193,1,1.000,voted,70.786,0.007205,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.358500,0.362000,-0.003500,179.78,52.75,19.96,1151.320,-5.380,-0.236664,0.451214,-0.045640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.256664,0.451175,-0.065640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.276664,0.451137,-0.085640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.228541,0.438481,-0.109615,0.47876825,0.87794079,-0.00084276,0.00045958,-0.237709,0.421668,-0.109583,0.47876825,0.87794079,-0.00084276,0.00045958,-0.246878,0.404854,-0.109551,0.47876825,0.87794079,-0.00084276,0.00045958,-0.206878,0.405023,-0.021551,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.237709,0.421837,-0.021583,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.268541,0.438650,-0.021616,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.198755,0.392291,-0.085527,0.33794436,0.62047291,-0.33913620,0.62112286,-0.218755,0.392329,-0.065527,0.33794436,0.62047291,-0.33913620,0.62112286,-0.238755,0.392367,-0.045527,0.33794436,0.62047291,-0.33913620,0.62112286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.254061,0.373248,-0.015236,-0.41578983,-0.42377709,0.72339558,0.35246366,-0.299532,0.388493,-0.000593,-0.39593869,-0.44587578,0.72448958,0.34574874,-0.346361,0.406306,0.012058,-0.03308482,0.01122312,0.89186205,0.45095624,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,voted,68.582,0.009505,1,1.000,voted,71.328,0.007492,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.425197,0.429000,-0.003803,179.87,52.75,19.96,1151.320,-5.380,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259553,0.372805,-0.005900,-0.42469606,-0.44595509,0.70497861,0.35179890,-0.299846,0.388491,-0.000641,-0.39588701,-0.44581375,0.72453511,0.34579248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,voted,73.762,0.000831,1,1.000,voted,71.214,0.000262,0,0.000,vote_mismatch,1.420,0.020356,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.483558,0.487000,-0.003442,179.87,52.75,19.96,1151.320,-5.380,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.258601,0.371910,-0.009493,-0.02656191,0.00785428,0.89120196,0.45276025,-0.299860,0.388571,-0.001000,-0.39611176,-0.44547268,0.72464336,0.34574783,-0.339452,0.404725,0.002735,-0.37238558,-0.45158451,0.73123475,0.35028011,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.170,0.005095,1,1.000,accepted,0.000,0.000000,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.541918,0.538000,0.003918,179.87,52.75,19.87,1151.320,-5.380,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261283,0.373869,-0.004628,-0.16282143,-0.13997994,0.87199823,0.43990214,-0.301399,0.388119,0.001171,-0.16310833,-0.15387867,0.87285936,0.43339770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,interpolated,,,0,0.000,angle_jump,54.435,0.609326,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
