t,roll,seg1,seg2,load1,load2,imu1_qw,imu1_qx,imu1_qy,imu1_qz,imu2_qw,imu2_qx,imu2_qy,imu2_qz,mp1x,mp1y,mp1z,mq1x,mq1y,mq1z,mq1w,mp2x,mp2y,mp2z,mq2x,mq2y,mq2z,mq2w,mp3x,mp3y,mp3z,mq3x,mq3y,mq3z,mq3w,mp4x,mp4y,mp4z,mq4x,mq4y,mq4z,mq4w,mp5x,mp5y,mp5z,mq5x,mq5y,mq5z,mq5w,mp6x,mp6y,mp6z,mq6x,mq6y,mq6z,mq6w,mp7x,mp7y,mp7z,mq7x,mq7y,mq7z,mq7w,mp8x,mp8y,mp8z,mq8x,mq8y,mq8z,mq8w,mp9x,mp9y,mp9z,mq9x,mq9y,mq9z,mq9w,mp10x,mp10y,mp10z,mq10x,mq10y,mq10z,mq10w,mp11x,mp11y,mp11z,mq11x,mq11y,mq11z,mq11w,mp12x,mp12y,mp12z,mq12x,mq12y,mq12z,mq12w
0.000,179.78,52.75,19.87,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236756,0.451035,-0.045639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.256756,0.450996,-0.065639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.276756,0.450958,-0.085639,-0.33864878,-0.62138809,-0.33745642,0.62073908,-0.228613,0.438315,-0.109615,0.47807857,0.87831655,-0.00084312,0.00045892,-0.237755,0.421519,-0.109583,0.47807857,0.87831655,-0.00084312,0.00045892,-0.246898,0.404723,-0.109551,0.47807857,0.87831655,-0.00084312,0.00045892,-0.206898,0.404891,-0.021551,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.237755,0.421688,-0.021583,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.268613,0.438484,-0.021615,-0.00084312,-0.00045892,-0.47807857,0.87831655,-0.198754,0.392172,-0.085526,0.33745642,0.62073908,-0.33864878,0.62138809,-0.218754,0.392210,-0.065526,0.33745642,0.62073908,-0.33864878,0.62138809,-0.238754,0.392248,-0.045526,0.33745642,0.62073908,-0.33864878,0.62138809
0.063,179.87,52.75,19.96,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011
0.126,179.87,52.75,19.87,1151.320,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553
0.188,179.87,52.75,19.87,1151.320,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553
0.251,179.87,52.75,19.96,1148.630,-2.690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011
0.301,179.87,52.75,19.96,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011
0.362,179.78,52.75,19.96,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451214,-0.045640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.256664,0.451175,-0.065640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.276664,0.451137,-0.085640,-0.33913620,-0.62112286,-0.33794436,0.62047291,-0.228541,0.438481,-0.109615,0.47876825,0.87794079,-0.00084276,0.00045958,-0.237709,0.421668,-0.109583,0.47876825,0.87794079,-0.00084276,0.00045958,-0.246878,0.404854,-0.109551,0.47876825,0.87794079,-0.00084276,0.00045958,-0.206878,0.405023,-0.021551,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.237709,0.421837,-0.021583,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.268541,0.438650,-0.021616,-0.00084276,-0.00045958,-0.47876825,0.87794079,-0.198755,0.392291,-0.085527,0.33794436,0.62047291,-0.33913620,0.62112286,-0.218755,0.392329,-0.065527,0.33794436,0.62047291,-0.33913620,0.62112286,-0.238755,0.392367,-0.045527,0.33794436,0.62047291,-0.33913620,0.62112286
0.429,179.87,52.75,19.96,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011
0.487,179.87,52.75,19.96,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236664,0.451198,-0.045378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.256664,0.451176,-0.065378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.276664,0.451153,-0.085378,-0.33889252,-0.62099011,-0.33818824,0.62060604,-0.228541,0.438516,-0.109364,0.47876840,0.87794106,-0.00049800,0.00027157,-0.237709,0.421702,-0.109345,0.47876840,0.87794106,-0.00049800,0.00027157,-0.246878,0.404889,-0.109325,0.47876840,0.87794106,-0.00049800,0.00027157,-0.206878,0.404989,-0.021326,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.237709,0.421802,-0.021345,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.268541,0.438616,-0.021364,-0.00049800,-0.00027157,-0.47876840,0.87794106,-0.198755,0.392307,-0.085311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.218755,0.392329,-0.065311,0.33818824,0.62060604,-0.33889252,0.62099011,-0.238755,0.392352,-0.045311,0.33818824,0.62060604,-0.33889252,0.62099011
0.538,179.87,52.75,19.87,1151.320,-5.380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.236756,0.451020,-0.045378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.256756,0.450997,-0.065378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.276756,0.450974,-0.085378,-0.33840499,-0.62125553,-0.33770042,0.62087202,-0.228613,0.438350,-0.109363,0.47807872,0.87831681,-0.00049821,0.00027118,-0.237755,0.421554,-0.109344,0.47807872,0.87831681,-0.00049821,0.00027118,-0.246898,0.404757,-0.109325,0.47807872,0.87831681,-0.00049821,0.00027118,-0.206898,0.404857,-0.021325,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.237755,0.421653,-0.021344,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.268613,0.438450,-0.021364,-0.00049821,-0.00027118,-0.47807872,0.87831681,-0.198754,0.392188,-0.085311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.218754,0.392210,-0.065311,0.33770042,0.62087202,-0.33840499,0.62125553,-0.238754,0.392233,-0.045311,0.33770042,0.62087202,-0.33840499,0.62125553
